time, x1, x2, x3
4.58,0.0615859,-0.0485884,0.0354472
4.59,0.0617147,-0.0480686,0.0354485
4.6,0.0618383,-0.0475464,0.0354498
4.61,0.0619566,-0.047022,0.0354511
4.62,0.0620697,-0.0464954,0.0354523
4.63,0.0621775,-0.0459666,0.0354535
4.64,0.06228,-0.0454357,0.0354547
4.65,0.0623771,-0.0449028,0.0354558
4.66,0.0624689,-0.0443678,0.0354569
4.67,0.0625553,-0.0438309,0.035458
4.68,0.0626363,-0.043292,0.0354591
4.69,0.062712,-0.0427513,0.0354601
4.7,0.0627822,-0.0422088,0.0354611
4.71,0.0628469,-0.0416645,0.0354621
4.72,0.0629062,-0.0411185,0.035463
4.73,0.06296,-0.0405709,0.0354639
4.74,0.0630083,-0.0400216,0.0354648
4.75,0.0630512,-0.0394708,0.0354656
4.76,0.0630884,-0.0389185,0.0354664
4.77,0.0631202,-0.0383648,0.0354672
4.78,0.0631464,-0.0378096,0.0354679
4.79,0.063167,-0.0372531,0.0354686
4.8,0.0631821,-0.0366953,0.0354693
4.81,0.0631915,-0.0361362,0.03547
4.82,0.0631954,-0.035576,0.0354706
4.83,0.0631936,-0.0350147,0.0354711
4.84,0.0631863,-0.0344522,0.0354717
4.85,0.0631732,-0.0338888,0.0354722
4.86,0.0631546,-0.0333243,0.0354727
4.87,0.0631303,-0.032759,0.0354731
4.88,0.0631003,-0.0321928,0.0354735
4.89,0.0630647,-0.0316258,0.0354739
4.9,0.0630233,-0.031058,0.0354742
4.91,0.0629763,-0.0304895,0.0354746
4.92,0.0629236,-0.0299205,0.0354748
4.93,0.0628652,-0.0293508,0.0354751
4.94,0.0628011,-0.0287806,0.0354753
4.95,0.0627313,-0.0282099,0.0354754
4.96,0.0626558,-0.0276388,0.0354756
4.97,0.0625746,-0.0270674,0.0354757
4.98,0.0624877,-0.0264956,0.0354758
4.99,0.062395,-0.0259236,0.0354758
5,0.0622966,-0.0253514,0.0354758
5.01,0.0621925,-0.0247791,0.0354757
5.02,0.0620827,-0.0242067,0.0354757
5.03,0.0619671,-0.0236343,0.0354756
5.04,0.0618459,-0.0230619,0.0354754
5.05,0.0617189,-0.0224896,0.0354752
5.06,0.0615862,-0.0219175,0.035475
5.07,0.0614477,-0.0213456,0.0354748
5.08,0.0613036,-0.020774,0.0354745
5.09,0.0611537,-0.0202026,0.0354742
5.1,0.0609981,-0.0196317,0.0354738
5.11,0.0608369,-0.0190612,0.0354735
5.12,0.0606699,-0.0184912,0.035473
5.13,0.0604972,-0.0179218,0.0354726
5.14,0.0603189,-0.017353,0.0354721
5.15,0.0601349,-0.0167849,0.0354715
5.16,0.0599452,-0.0162175,0.035471
5.17,0.0597498,-0.0156509,0.0354704
5.18,0.0595488,-0.0150851,0.0354697
5.19,0.0593421,-0.0145202,0.0354691
5.2,0.0591298,-0.0139564,0.0354684
5.21,0.0589119,-0.0133935,0.0354676
5.22,0.0586883,-0.0128317,0.0354668
5.23,0.0584592,-0.0122711,0.035466
5.24,0.0582244,-0.0117116,0.0354652
5.25,0.0579841,-0.0111534,0.0354643
5.26,0.0577382,-0.0105966,0.0354634
5.27,0.0574868,-0.0100411,0.0354624
5.28,0.0572298,-0.00948703,0.0354614
5.29,0.0569673,-0.00893446,0.0354604
5.3,0.0566993,-0.00838344,0.0354594
5.31,0.0564258,-0.00783403,0.0354583
5.32,0.0561468,-0.00728628,0.0354571
5.33,0.0558624,-0.00674025,0.035456
5.34,0.0555725,-0.00619601,0.0354548
5.35,0.0552772,-0.00565361,0.0354535
5.36,0.0549765,-0.0051131,0.0354523
5.37,0.0546704,-0.00457455,0.0354509
5.38,0.054359,-0.00403801,0.0354496
5.39,0.0540422,-0.00350354,0.0354482
5.4,0.0537201,-0.0029712,0.0354468
5.41,0.0533927,-0.00244104,0.0354454
5.42,0.05306,-0.00191313,0.0354439
5.43,0.0527221,-0.00138752,0.0354424
5.44,0.0523789,-0.000864258,0.0354408
5.45,0.0520306,-0.000343414,0.0354393
5.46,0.051677,0.000174961,0.0354376
5.47,0.0513183,0.000690808,0.035436
5.48,0.0509545,0.00120407,0.0354343
5.49,0.0505855,0.00171469,0.0354326
5.5,0.0502115,0.00222262,0.0354308
5.51,0.0498325,0.0027278,0.0354291
5.52,0.0494484,0.00323016,0.0354272
5.53,0.0490594,0.00372967,0.0354254
5.54,0.0486653,0.00422625,0.0354235
5.55,0.0482664,0.00471986,0.0354216
5.56,0.0478625,0.00521044,0.0354196
5.57,0.0474538,0.00569793,0.0354177
5.58,0.0470402,0.00618229,0.0354156
5.59,0.0466218,0.00666345,0.0354136
5.6,0.0461987,0.00714136,0.0354115
5.61,0.0457708,0.00761597,0.0354094
5.62,0.0453382,0.00808722,0.0354073
5.63,0.0449009,0.00855507,0.0354051
5.64,0.044459,0.00901944,0.0354029
5.65,0.0440125,0.0094803,0.0354006
5.66,0.0435614,0.0099376,0.0353984
5.67,0.0431058,0.0103913,0.0353961
5.68,0.0426456,0.0108413,0.0353937
5.69,0.0421811,0.0112875,0.0353914
5.7,0.0417121,0.01173,0.035389
5.71,0.0412387,0.0121687,0.0353865
5.72,0.040761,0.0126034,0.0353841
5.73,0.040279,0.0130343,0.0353816
5.74,0.0397927,0.0134611,0.0353791
